"Woonplaatsen";"Gemeente/Naam  (Naam)";"Provincie/Naam (Naam)";"Landsdeel/Naam (Naam)"
"Santpoort-Zuid";"Velsen                             ";"Noord-Holland            ";"West-Nederland           "
"Sappemeer";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Sas van Gent";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Sassenheim";"Teylingen                          ";"Zuid-Holland             ";"West-Nederland           "
"Sauwerd";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Schagen";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Schagerbrug";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Schaijk";"Landerd                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Schalkhaar";"Deventer                           ";"Overijssel               ";"Oost-Nederland           "
"Schalkwijk";"Houten                             ";"Utrecht                  ";"West-Nederland           "
"Schalsum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Schardam";"Edam-Volendam                      ";"Noord-Holland            ";"West-Nederland           "
"Scharendijke";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Scharmer";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Scharnegoutum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Scharsterbrug";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Scharwoude";"Koggenland                         ";"Noord-Holland            ";"West-Nederland           "
"Scheemda";"Oldambt                            ";"Groningen                ";"Noord-Nederland          "
"Scheerwolde";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Schellinkhout";"Drechterland                       ";"Noord-Holland            ";"West-Nederland           "
"Schelluinen";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Schermerhorn";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Scherpenisse";"Tholen                             ";"Zeeland                  ";"West-Nederland           "
"Scherpenzeel";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Scherpenzeel";"Scherpenzeel                       ";"Gelderland               ";"Oost-Nederland           "
"Schettens";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Scheulder";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Schiedam";"Schiedam                           ";"Zuid-Holland             ";"West-Nederland           "
"Schiermonnikoog";"Schiermonnikoog                    ";"Friesland                ";"Noord-Nederland          "
"Schijf";"Rucphen                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Schijndel";"Meierijstad                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Schildwolde";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Schimmert";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Schin op Geul";"Valkenburg aan de Geul             ";"Limburg                  ";"Zuid-Nederland           "
"Schinnen";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Schinveld";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Schipborg";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Schiphol";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Schiphol-Rijk";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"De Schiphorst";"Meppel                             ";"Drenthe                  ";"Noord-Nederland          "
"Schipluiden";"Midden-Delfland                    ";"Zuid-Holland             ";"West-Nederland           "
"Schokland";"Noordoostpolder                    ";"Flevoland                ";"Oost-Nederland           "
"Schoondijke";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Schoonebeek";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Schoonhoven";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Schoonloo";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Schoonoord";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Schoonrewoerd";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Schoorl";"Bergen (NH.)                       ";"Noord-Holland            ";"West-Nederland           "
"Schore";"Kapelle                            ";"Zeeland                  ";"West-Nederland           "
"Schouwerzijl";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Schraard";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Schuinesloot";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Sebaldeburen";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Sellingen";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Serooskerke";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Serooskerke";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"Sevenum";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Sexbierum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Sibculo";"Twenterand                         ";"Overijssel               ";"Oost-Nederland           "
"Sibculo";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Sibrandabuorren";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Sibrandahûs";"Dantumadiel                        ";"Friesland                ";"Noord-Nederland          "
"Siddeburen";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Siebengewald";"Bergen (L.)                        ";"Limburg                  ";"Zuid-Nederland           "
"Siegerswoude";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Sijbekarspel";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Silvolde";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Simonshaven";"Nissewaard                         ";"Zuid-Holland             ";"West-Nederland           "
"Simpelveld";"Simpelveld                         ";"Limburg                  ";"Zuid-Nederland           "
"Sinderen";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Sint Agatha";"Cuijk                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sint Annen";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Sint Anthonis";"Sint Anthonis                      ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sint Geertruid";"Eijsden-Margraten                  ";"Limburg                  ";"Zuid-Nederland           "
"Sint Hubert";"Mill en Sint Hubert                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sint Jansklooster";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Sint Jansteen";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Sint Joost";"Echt-Susteren                      ";"Limburg                  ";"Zuid-Nederland           "
"Sint Kruis";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Sint Maarten";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Sint Maartensbrug";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Sint Maartensvlotbrug";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Sint Nicolaasga";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Sint Odiliënberg";"Roerdalen                          ";"Limburg                  ";"Zuid-Nederland           "
"Sint Pancras";"Langedijk                          ";"Noord-Holland            ";"West-Nederland           "
"Sint Philipsland";"Tholen                             ";"Zeeland                  ";"West-Nederland           "
"St. Willebrord";"Rucphen                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sint-Annaland";"Tholen                             ";"Zeeland                  ";"West-Nederland           "
"St.-Annaparochie";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"St.-Jacobiparochie";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Sintjohannesga";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Sint-Maartensdijk";"Tholen                             ";"Zeeland                  ";"West-Nederland           "
"Sint-Michielsgestel";"Sint-Michielsgestel                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sint-Oedenrode";"Meierijstad                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sirjansland";"Schouwen-Duiveland                 ";"Zeeland                  ";"West-Nederland           "
"Sittard";"Sittard-Geleen                     ";"Limburg                  ";"Zuid-Nederland           "
"Skingen";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Slagharen";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Slappeterp";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Sleen";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Sleeuwijk";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Slenaken";"Gulpen-Wittem                      ";"Limburg                  ";"Zuid-Nederland           "
"Sliedrecht";"Sliedrecht                         ";"Zuid-Holland             ";"West-Nederland           "
"Slijkenburg";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Slijk-Ewijk";"Overbetuwe                         ";"Gelderland               ";"Oost-Nederland           "
"Slochteren";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Slootdorp";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Sloten";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Sluis";"Sluis                              ";"Zeeland                  ";"West-Nederland           "
"Sluiskil";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Smakt";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Smalle Ee";"Smallingerland                     ";"Friesland                ";"Noord-Nederland          "
"Smallebrugge";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Smilde";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Snakkerburen";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Sneek";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Snelrewaard";"Oudewater                          ";"Utrecht                  ";"West-Nederland           "
"Snikzwaag";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Soerendonk";"Cranendonck                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Soest";"Soest                              ";"Utrecht                  ";"West-Nederland           "
"Soesterberg";"Soest                              ";"Utrecht                  ";"West-Nederland           "
"Someren";"Someren                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sommelsdijk";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Son en Breugel";"Son en Breugel                     ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sondel";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Sonnega";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Spaarndam";"Haarlemmermeer                     ";"Noord-Holland            ";"West-Nederland           "
"Spaarndam gem. Haarlem";"Haarlem                            ";"Noord-Holland            ";"West-Nederland           "
"Spanbroek";"Opmeer                             ";"Noord-Holland            ";"West-Nederland           "
"Spanga";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Spankeren";"Rheden                             ";"Gelderland               ";"Oost-Nederland           "
"Spannum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Spaubeek";"Beek                               ";"Limburg                  ";"Zuid-Nederland           "
"Spier";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Spier";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Spierdijk";"Koggenland                         ";"Noord-Holland            ";"West-Nederland           "
"Spijk";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Spijk";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Spijk";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Spijkenisse";"Nissewaard                         ";"Zuid-Holland             ";"West-Nederland           "
"Spijkerboor";"Aa en Hunze                        ";"Drenthe                  ";"Noord-Nederland          "
"Spijkerboor";"Wormerland                         ";"Noord-Holland            ";"West-Nederland           "
"Sprang-Capelle";"Waalwijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Sprundel";"Rucphen                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Spui";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Stad aan 't Haringvliet";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Stadskanaal";"Stadskanaal                        ";"Groningen                ";"Noord-Nederland          "
"Stampersgat";"Halderberge                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Standdaarbuiten";"Moerdijk                           ";"Noord-Brabant            ";"Zuid-Nederland           "
"Staphorst";"Staphorst                          ";"Overijssel               ";"Oost-Nederland           "
"Starnmeer";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Startenhuizen";"Loppersum                          ";"Groningen                ";"Noord-Nederland          "
"Startenhuizen";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Stavenisse";"Tholen                             ";"Zeeland                  ";"West-Nederland           "
"Stavoren";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Stedum";"Loppersum                          ";"Groningen                ";"Noord-Nederland          "
"De Steeg";"Rheden                             ";"Gelderland               ";"Oost-Nederland           "
"Steenbergen";"Steenbergen                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"Steenbergen";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Steendam";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Steenderen";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Steenenkamer";"Voorst                             ";"Gelderland               ";"Oost-Nederland           "
"Steensel";"Eersel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Steenwijk";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Steenwijkerwold";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Stegeren";"Ommen                              ";"Overijssel               ";"Oost-Nederland           "
"Steggerda";"Weststellingwerf                   ";"Friesland                ";"Noord-Nederland          "
"Stein";"Stein                              ";"Limburg                  ";"Zuid-Nederland           "
"Stellendam";"Goeree-Overflakkee                 ";"Zuid-Holland             ";"West-Nederland           "
"Sterksel";"Heeze-Leende                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Stevensbeek";"Sint Anthonis                      ";"Noord-Brabant            ";"Zuid-Nederland           "
"Stevensweert";"Maasgouw                           ";"Limburg                  ";"Zuid-Nederland           "
"Steyl";"Venlo                              ";"Limburg                  ";"Zuid-Nederland           "
"Stieltjeskanaal";"Coevorden                          ";"Drenthe                  ";"Noord-Nederland          "
"Stiens";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Stitswerd";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Stokkum";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Stolwijk";"Krimpenerwaard                     ";"Zuid-Holland             ";"West-Nederland           "
"Stompetoren";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Stoutenburg";"Leusden                            ";"Utrecht                  ";"West-Nederland           "
"Stoutenburg Noord";"Amersfoort                         ";"Utrecht                  ";"West-Nederland           "
"Stramproy";"Weert                              ";"Limburg                  ";"Zuid-Nederland           "
"Streefkerk";"Molenlanden                        ";"Zuid-Holland             ";"West-Nederland           "
"Striep";"Terschelling                       ";"Friesland                ";"Noord-Nederland          "
"Strijbeek";"Alphen-Chaam                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Strijen";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Strijensas";"Hoeksche Waard                     ";"Zuid-Holland             ";"West-Nederland           "
"Stroe";"Barneveld                          ";"Gelderland               ";"Oost-Nederland           "
"Stroobos";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Stuifzand";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Stuifzand";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Sumar";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Surhuisterveen";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Surhuizum";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Susteren";"Echt-Susteren                      ";"Limburg                  ";"Zuid-Nederland           "
"Suwâld";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Swalmen";"Roermond                           ";"Limburg                  ";"Zuid-Nederland           "
"Sweikhuizen";"Beekdaelen                         ";"Limburg                  ";"Zuid-Nederland           "
"Swichum";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Swifterbant";"Dronten                            ";"Flevoland                ";"Oost-Nederland           "
"Swolgen";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Taarlo";"Tynaarlo                           ";"Drenthe                  ";"Noord-Nederland          "
"Teeffelen";"Oss                                ";"Noord-Brabant            ";"Zuid-Nederland           "
"Teerns";"Leeuwarden                         ";"Friesland                ";"Noord-Nederland          "
"Tegelen";"Venlo                              ";"Limburg                  ";"Zuid-Nederland           "
"Terband";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Terborg";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Terheijden";"Drimmelen                          ";"Noord-Brabant            ";"Zuid-Nederland           "
"Terherne";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Terhole";"Hulst                              ";"Zeeland                  ";"West-Nederland           "
"Terkaple";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Termunten";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Termunterzijl";"Delfzijl                           ";"Groningen                ";"Noord-Nederland          "
"Ternaard";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Terneuzen";"Terneuzen                          ";"Zeeland                  ";"West-Nederland           "
"Teroele";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Terschuur";"Barneveld                          ";"Gelderland               ";"Oost-Nederland           "
"Tersoal";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Terwispel";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Terwolde";"Voorst                             ";"Gelderland               ";"Oost-Nederland           "
"Teteringen";"Breda                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Teuge";"Voorst                             ";"Gelderland               ";"Oost-Nederland           "
"Thesinge";"Groningen                          ";"Groningen                ";"Noord-Nederland          "
"Tholen";"Tholen                             ";"Zeeland                  ";"West-Nederland           "
"Thorn";"Maasgouw                           ";"Limburg                  ";"Zuid-Nederland           "
"Tiel";"Tiel                               ";"Gelderland               ";"Oost-Nederland           "
"Tiendeveen";"Hoogeveen                          ";"Drenthe                  ";"Noord-Nederland          "
"Tiendeveen";"Midden-Drenthe                     ";"Drenthe                  ";"Noord-Nederland          "
"Tienhoven";"Stichtse Vecht                     ";"Utrecht                  ";"West-Nederland           "
"Tienhoven aan de Lek";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Tienray";"Horst aan de Maas                  ";"Limburg                  ";"Zuid-Nederland           "
"Tijnje";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"De Tike";"Smallingerland                     ";"Friesland                ";"Noord-Nederland          "
"Tilburg";"Tilburg                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Tilligte";"Dinkelland                         ";"Overijssel               ";"Oost-Nederland           "
"Tinallinge";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Tinte";"Westvoorne                         ";"Zuid-Holland             ";"West-Nederland           "
"Tirns";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Tjalhuizum";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Tjalleberd";"Heerenveen                         ";"Friesland                ";"Noord-Nederland          "
"Tjerkgaast";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Tjerkwerd";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Tjuchem";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Tolbert";"Westerkwartier                     ";"Groningen                ";"Noord-Nederland          "
"Toldijk";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Tolkamer";"Zevenaar                           ";"Gelderland               ";"Oost-Nederland           "
"Tollebeek";"Noordoostpolder                    ";"Flevoland                ";"Oost-Nederland           "
"Tonden";"Brummen                            ";"Gelderland               ";"Oost-Nederland           "
"Toornwerd";"Loppersum                          ";"Groningen                ";"Noord-Nederland          "
"Tricht";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Triemen";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Tripscompagnie";"Midden-Groningen                   ";"Groningen                ";"Noord-Nederland          "
"Tubbergen";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Tuil";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Tuitjenhorn";"Schagen                            ";"Noord-Holland            ";"West-Nederland           "
"Tuk";"Steenwijkerland                    ";"Overijssel               ";"Oost-Nederland           "
"Tull en 't Waal";"Houten                             ";"Utrecht                  ";"West-Nederland           "
"Twello";"Voorst                             ";"Gelderland               ";"Oost-Nederland           "
"Twijzel";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Twijzelerheide";"Achtkarspelen                      ";"Friesland                ";"Noord-Nederland          "
"Twisk";"Medemblik                          ";"Noord-Holland            ";"West-Nederland           "
"Tynaarlo";"Tynaarlo                           ";"Drenthe                  ";"Noord-Nederland          "
"Tytsjerk";"Tytsjerksteradiel                  ";"Friesland                ";"Noord-Nederland          "
"Tzum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Tzummarum";"Waadhoeke                          ";"Friesland                ";"Noord-Nederland          "
"Ubbena";"Assen                              ";"Drenthe                  ";"Noord-Nederland          "
"Ubbergen";"Berg en Dal                        ";"Gelderland               ";"Oost-Nederland           "
"Uddel";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Uden";"Uden                               ";"Noord-Brabant            ";"Zuid-Nederland           "
"Udenhout";"Tilburg                            ";"Noord-Brabant            ";"Zuid-Nederland           "
"Uffelte";"Westerveld                         ";"Drenthe                  ";"Noord-Nederland          "
"Ugchelen";"Apeldoorn                          ";"Gelderland               ";"Oost-Nederland           "
"Uitdam";"Waterland                          ";"Noord-Holland            ";"West-Nederland           "
"Uitgeest";"Uitgeest                           ";"Noord-Holland            ";"West-Nederland           "
"Uithoorn";"Uithoorn                           ";"Noord-Holland            ";"West-Nederland           "
"Uithuizen";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Uithuizermeeden";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Uitwellingerga";"Súdwest-Fryslân                    ";"Friesland                ";"Noord-Nederland          "
"Uitwijk";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Ulestraten";"Meerssen                           ";"Limburg                  ";"Zuid-Nederland           "
"Ulft";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Ulicoten";"Baarle-Nassau                      ";"Noord-Brabant            ";"Zuid-Nederland           "
"Ulrum";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Ulvenhout";"Breda                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Ulvenhout AC";"Alphen-Chaam                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Ureterp";"Opsterland                         ";"Friesland                ";"Noord-Nederland          "
"Urk";"Urk                                ";"Flevoland                ";"Oost-Nederland           "
"Urmond";"Stein                              ";"Limburg                  ";"Zuid-Nederland           "
"Ursem";"Alkmaar                            ";"Noord-Holland            ";"West-Nederland           "
"Ursem";"Koggenland                         ";"Noord-Holland            ";"West-Nederland           "
"Usquert";"Het Hogeland                       ";"Groningen                ";"Noord-Nederland          "
"Utrecht";"Utrecht                            ";"Utrecht                  ";"West-Nederland           "
"Vaals";"Vaals                              ";"Limburg                  ";"Zuid-Nederland           "
"Vaassen";"Epe                                ";"Gelderland               ";"Oost-Nederland           "
"Valburg";"Overbetuwe                         ";"Gelderland               ";"Oost-Nederland           "
"Valkenburg";"Katwijk                            ";"Zuid-Holland             ";"West-Nederland           "
"Valkenburg";"Valkenburg aan de Geul             ";"Limburg                  ";"Zuid-Nederland           "
"Valkenswaard";"Valkenswaard                       ";"Noord-Brabant            ";"Zuid-Nederland           "
"Valthe";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Valthermond";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"2e Valthermond";"Borger-Odoorn                      ";"Drenthe                  ";"Noord-Nederland          "
"Varik";"West Betuwe                        ";"Gelderland               ";"Oost-Nederland           "
"Varsselder";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Varsseveld";"Oude IJsselstreek                  ";"Gelderland               ";"Oost-Nederland           "
"Vasse";"Tubbergen                          ";"Overijssel               ";"Oost-Nederland           "
"Veelerveen";"Westerwolde                        ";"Groningen                ";"Noord-Nederland          "
"Veen";"Altena                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Veendam";"Veendam                            ";"Groningen                ";"Noord-Nederland          "
"Veenendaal";"Veenendaal                         ";"Utrecht                  ";"West-Nederland           "
"De Veenhoop";"Smallingerland                     ";"Friesland                ";"Noord-Nederland          "
"Veenhuizen";"Noordenveld                        ";"Drenthe                  ";"Noord-Nederland          "
"Veeningen";"De Wolden                          ";"Drenthe                  ";"Noord-Nederland          "
"Veenklooster";"Noardeast-Fryslân                  ";"Friesland                ";"Noord-Nederland          "
"Veenoord";"Emmen                              ";"Drenthe                  ";"Noord-Nederland          "
"Veere";"Veere                              ";"Zeeland                  ";"West-Nederland           "
"Veessen";"Heerde                             ";"Gelderland               ";"Oost-Nederland           "
"Vegelinsoord";"De Fryske Marren                   ";"Friesland                ";"Noord-Nederland          "
"Veghel";"Meierijstad                        ";"Noord-Brabant            ";"Zuid-Nederland           "
"'t Veld";"Hollands Kroon                     ";"Noord-Holland            ";"West-Nederland           "
"Velddriel";"Maasdriel                          ";"Gelderland               ";"Oost-Nederland           "
"Den Velde";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Velden";"Venlo                              ";"Limburg                  ";"Zuid-Nederland           "
"Veldhoven";"Veldhoven                          ";"Noord-Brabant            ";"Zuid-Nederland           "
"Velp";"Grave                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Velp";"Rheden                             ";"Gelderland               ";"Oost-Nederland           "
"Velsen-Noord";"Velsen                             ";"Noord-Holland            ";"West-Nederland           "
"Velsen-Zuid";"Velsen                             ";"Noord-Holland            ";"West-Nederland           "
"Velserbroek";"Velsen                             ";"Noord-Holland            ";"West-Nederland           "
"Venebrugge";"Hardenberg                         ";"Overijssel               ";"Oost-Nederland           "
"Venhorst";"Boekel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Venhuizen";"Drechterland                       ";"Noord-Holland            ";"West-Nederland           "
"Venlo";"Venlo                              ";"Limburg                  ";"Zuid-Nederland           "
"Venray";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Ven-Zelderheide";"Gennep                             ";"Limburg                  ";"Zuid-Nederland           "
"Vessem";"Eersel                             ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vethuizen";"Montferland                        ";"Gelderland               ";"Oost-Nederland           "
"Veulen";"Venray                             ";"Limburg                  ";"Zuid-Nederland           "
"Vianen";"Vijfheerenlanden                   ";"Utrecht                  ";"West-Nederland           "
"Vianen NB";"Cuijk                              ";"Noord-Brabant            ";"Zuid-Nederland           "
"Vierakker";"Bronckhorst                        ";"Gelderland               ";"Oost-Nederland           "
"Vierhouten";"Nunspeet                           ";"Gelderland               ";"Oost-Nederland           "
