,Woonplaatsen,Gemeente,Provincie,Landsdeel
1331,Ohé en Laak,Maasgouw,Limburg,Zuid-Nederland
1332,Oijen,Oss,Noord-Brabant,Zuid-Nederland
1333,Oirlo,Venray,Limburg,Zuid-Nederland
1334,Oirsbeek,Beekdaelen,Limburg,Zuid-Nederland
1335,Oirschot,Oirschot,Noord-Brabant,Zuid-Nederland
1336,Oisterwijk,Oisterwijk,Noord-Brabant,Zuid-Nederland
1337,Okkenbroek,Deventer,Overijssel,Oost-Nederland
1338,Olburgen,Bronckhorst,Gelderland,Oost-Nederland
1339,Oldeberkoop,Ooststellingwerf,Friesland,Noord-Nederland
1340,Oldebroek,Oldebroek,Gelderland,Oost-Nederland
1341,Oldeholtpade,Weststellingwerf,Friesland,Noord-Nederland
1342,Oldeholtwolde,Weststellingwerf,Friesland,Noord-Nederland
1343,Oldehove,Westerkwartier,Groningen,Noord-Nederland
1344,Oldekerk,Westerkwartier,Groningen,Noord-Nederland
1345,Oldelamer,Weststellingwerf,Friesland,Noord-Nederland
1346,Oldemarkt,Steenwijkerland,Overijssel,Oost-Nederland
1347,Oldenzaal,Oldenzaal,Overijssel,Oost-Nederland
1348,Oldenzijl,HetHogeland,Groningen,Noord-Nederland
1349,Oldeouwer,DeFryskeMarren,Friesland,Noord-Nederland
1350,Oldetrijne,Weststellingwerf,Friesland,Noord-Nederland
1351,Olst,Olst-Wijhe,Overijssel,Oost-Nederland
1352,Olterterp,Opsterland,Friesland,Noord-Nederland
1353,Ommel,Asten,Noord-Brabant,Zuid-Nederland
1354,Ommen,Ommen,Overijssel,Oost-Nederland
1355,Ommeren,Buren,Gelderland,Oost-Nederland
1356,Onderdendam,HetHogeland,Groningen,Noord-Nederland
1357,Onna,Steenwijkerland,Overijssel,Oost-Nederland
1358,Onnen,Groningen,Groningen,Noord-Nederland
1359,Onstwedde,Stadskanaal,Groningen,Noord-Nederland
1360,Ooij,BergenDal,Gelderland,Oost-Nederland
1361,Ooltgensplaat,Goeree-Overflakkee,Zuid-Holland,West-Nederland
1362,Oost West en Middelbeers,Oirschot,Noord-Brabant,Zuid-Nederland
1363,Oostburg,Sluis,Zeeland,West-Nederland
1364,Oostdijk,Reimerswaal,Zeeland,West-Nederland
1365,Oosteind,Oosterhout,Noord-Brabant,Zuid-Nederland
1366,Oosterbeek,Renkum,Gelderland,Oost-Nederland
1367,Oosterbierum,Waadhoeke,Friesland,Noord-Nederland
1368,Oosterblokker,Drechterland,Noord-Holland,West-Nederland
1369,Oosterend,Terschelling,Friesland,Noord-Nederland
1370,Oosterend,Texel,Noord-Holland,West-Nederland
1371,Oosterhesselen,Coevorden,Drenthe,Noord-Nederland
1372,Oosterhout,Overbetuwe,Gelderland,Oost-Nederland
1373,Oosterhout,Oosterhout,Noord-Brabant,Zuid-Nederland
1374,Oosterland,Schouwen-Duiveland,Zeeland,West-Nederland
1375,Oosterleek,Drechterland,Noord-Holland,West-Nederland
1376,Oosternieland,HetHogeland,Groningen,Noord-Nederland
1377,Oosternijkerk,Noardeast-Fryslân,Friesland,Noord-Nederland
1378,Oosterstreek,Weststellingwerf,Friesland,Noord-Nederland
1379,Oosterwijk,Vijfheerenlanden,Utrecht,West-Nederland
1380,Oosterwijtwerd,Loppersum,Groningen,Noord-Nederland
1381,Oosterwolde,Ooststellingwerf,Friesland,Noord-Nederland
1382,Oosterwolde Gld,Oldebroek,Gelderland,Oost-Nederland
1383,Oosterzee,DeFryskeMarren,Friesland,Noord-Nederland
1384,Oost-Graftdijk,Alkmaar,Noord-Holland,West-Nederland
1385,Oosthem,Súdwest-Fryslân,Friesland,Noord-Nederland
1386,Oosthuizen,Edam-Volendam,Noord-Holland,West-Nederland
1387,Oostkapelle,Veere,Zeeland,West-Nederland
1388,Oostknollendam,Wormerland,Noord-Holland,West-Nederland
1389,Oostrum,Venray,Limburg,Zuid-Nederland
1390,Oostrum,Noardeast-Fryslân,Friesland,Noord-Nederland
1391,Oost-Souburg,Vlissingen,Zeeland,West-Nederland
1392,Oostvoorne,Westvoorne,Zuid-Holland,West-Nederland
1393,Oostwold,Oldambt,Groningen,Noord-Nederland
1394,Oostwold,Westerkwartier,Groningen,Noord-Nederland
1395,Oostwoud,Medemblik,Noord-Holland,West-Nederland
1396,Oostzaan,Oostzaan,Noord-Holland,West-Nederland
1397,Ootmarsum,Dinkelland,Overijssel,Oost-Nederland
1398,Opeinde,Smallingerland,Friesland,Noord-Nederland
1399,Opende,Westerkwartier,Groningen,Noord-Nederland
1400,Ophemert,WestBetuwe,Gelderland,Oost-Nederland
1401,Opheusden,Neder-Betuwe,Gelderland,Oost-Nederland
1402,Opijnen,WestBetuwe,Gelderland,Oost-Nederland
1403,Oploo,SintAnthonis,Noord-Brabant,Zuid-Nederland
1404,Opmeer,Opmeer,Noord-Holland,West-Nederland
1405,Oppenhuizen,Súdwest-Fryslân,Friesland,Noord-Nederland
1406,Opperdoes,Medemblik,Noord-Holland,West-Nederland
1407,Oranje,Midden-Drenthe,Drenthe,Noord-Nederland
1408,Oranjewoud,Heerenveen,Friesland,Noord-Nederland
1409,Orvelte,Midden-Drenthe,Drenthe,Noord-Nederland
1410,Ospel,Nederweert,Limburg,Zuid-Nederland
1411,Oss,Oss,Noord-Brabant,Zuid-Nederland
1412,Ossendrecht,Woensdrecht,Noord-Brabant,Zuid-Nederland
1413,Bron: CBS,,,
1414,Strijen,HoekscheWaard,Zuid-Holland,West-Nederland
1415,Strijensas,HoekscheWaard,Zuid-Holland,West-Nederland
1416,Stroe,Barneveld,Gelderland,Oost-Nederland
1417,Stroobos,Achtkarspelen,Friesland,Noord-Nederland
1418,Stuifzand,Midden-Drenthe,Drenthe,Noord-Nederland
1419,Stuifzand,Hoogeveen,Drenthe,Noord-Nederland
1420,Sumar,Tytsjerksteradiel,Friesland,Noord-Nederland
1421,Surhuisterveen,Achtkarspelen,Friesland,Noord-Nederland
1422,Surhuizum,Achtkarspelen,Friesland,Noord-Nederland
1423,Susteren,Echt-Susteren,Limburg,Zuid-Nederland
1424,Suwâld,Tytsjerksteradiel,Friesland,Noord-Nederland
1425,Swalmen,Roermond,Limburg,Zuid-Nederland
1426,Sweikhuizen,Beekdaelen,Limburg,Zuid-Nederland
1427,Swichum,Leeuwarden,Friesland,Noord-Nederland
1428,Swifterbant,Dronten,Flevoland,Oost-Nederland
1429,Swolgen,HorstaandeMaas,Limburg,Zuid-Nederland
1430,Taarlo,Tynaarlo,Drenthe,Noord-Nederland
1431,Teeffelen,Oss,Noord-Brabant,Zuid-Nederland
1432,Teerns,Leeuwarden,Friesland,Noord-Nederland
1433,Tegelen,Venlo,Limburg,Zuid-Nederland
1434,Terband,Heerenveen,Friesland,Noord-Nederland
1435,Terborg,OudeIJsselstreek,Gelderland,Oost-Nederland
1436,Terheijden,Drimmelen,Noord-Brabant,Zuid-Nederland
1437,Terherne,DeFryskeMarren,Friesland,Noord-Nederland
1438,Terhole,Hulst,Zeeland,West-Nederland
1439,Terkaple,DeFryskeMarren,Friesland,Noord-Nederland
1440,Termunten,Delfzijl,Groningen,Noord-Nederland
1441,Termunterzijl,Delfzijl,Groningen,Noord-Nederland
1442,Ternaard,Noardeast-Fryslân,Friesland,Noord-Nederland
1443,Terneuzen,Terneuzen,Zeeland,West-Nederland
1444,Teroele,DeFryskeMarren,Friesland,Noord-Nederland
1445,Terschuur,Barneveld,Gelderland,Oost-Nederland
1446,Tersoal,Súdwest-Fryslân,Friesland,Noord-Nederland
1447,Terwispel,Opsterland,Friesland,Noord-Nederland
1448,Terwolde,Voorst,Gelderland,Oost-Nederland
1449,Teteringen,Breda,Noord-Brabant,Zuid-Nederland
1450,Teuge,Voorst,Gelderland,Oost-Nederland
1451,Thesinge,Groningen,Groningen,Noord-Nederland
1452,Tholen,Tholen,Zeeland,West-Nederland
1453,Thorn,Maasgouw,Limburg,Zuid-Nederland
1454,Tiel,Tiel,Gelderland,Oost-Nederland
1455,Tiendeveen,Hoogeveen,Drenthe,Noord-Nederland
1456,Tiendeveen,Midden-Drenthe,Drenthe,Noord-Nederland
1457,Tienhoven,StichtseVecht,Utrecht,West-Nederland
1458,Tienhoven aan de Lek,Vijfheerenlanden,Utrecht,West-Nederland
1459,Tienray,HorstaandeMaas,Limburg,Zuid-Nederland
1460,Tijnje,Opsterland,Friesland,Noord-Nederland
1461,De Tike,Smallingerland,Friesland,Noord-Nederland
1462,Tilburg,Tilburg,Noord-Brabant,Zuid-Nederland
1463,Tilligte,Dinkelland,Overijssel,Oost-Nederland
1464,Tinallinge,HetHogeland,Groningen,Noord-Nederland
1465,Tinte,Westvoorne,Zuid-Holland,West-Nederland
1466,Tirns,Súdwest-Fryslân,Friesland,Noord-Nederland
1467,Tjalhuizum,Súdwest-Fryslân,Friesland,Noord-Nederland
1468,Tjalleberd,Heerenveen,Friesland,Noord-Nederland
1469,Tjerkgaast,DeFryskeMarren,Friesland,Noord-Nederland
1470,Tjerkwerd,Súdwest-Fryslân,Friesland,Noord-Nederland
1471,Tjuchem,Midden-Groningen,Groningen,Noord-Nederland
1472,Tolbert,Westerkwartier,Groningen,Noord-Nederland
1473,Toldijk,Bronckhorst,Gelderland,Oost-Nederland
1474,Tolkamer,Zevenaar,Gelderland,Oost-Nederland
1475,Tollebeek,Noordoostpolder,Flevoland,Oost-Nederland
1476,Tonden,Brummen,Gelderland,Oost-Nederland
1477,Toornwerd,Loppersum,Groningen,Noord-Nederland
1478,Tricht,WestBetuwe,Gelderland,Oost-Nederland
1479,Triemen,Noardeast-Fryslân,Friesland,Noord-Nederland
1480,Tripscompagnie,Midden-Groningen,Groningen,Noord-Nederland
1481,Tubbergen,Tubbergen,Overijssel,Oost-Nederland
1482,Tuil,WestBetuwe,Gelderland,Oost-Nederland
1483,Tuitjenhorn,Schagen,Noord-Holland,West-Nederland
1484,Tuk,Steenwijkerland,Overijssel,Oost-Nederland
1485,Tull en 't Waal,Houten,Utrecht,West-Nederland
1486,Twello,Voorst,Gelderland,Oost-Nederland
1487,Twijzel,Achtkarspelen,Friesland,Noord-Nederland
1488,Twijzelerheide,Achtkarspelen,Friesland,Noord-Nederland
1489,Twisk,Medemblik,Noord-Holland,West-Nederland
1490,Tynaarlo,Tynaarlo,Drenthe,Noord-Nederland
1491,Tytsjerk,Tytsjerksteradiel,Friesland,Noord-Nederland
1492,Tzum,Waadhoeke,Friesland,Noord-Nederland
1493,Tzummarum,Waadhoeke,Friesland,Noord-Nederland
1494,Ubbena,Assen,Drenthe,Noord-Nederland
1495,Ubbergen,BergenDal,Gelderland,Oost-Nederland
1496,Uddel,Apeldoorn,Gelderland,Oost-Nederland
1497,Uden,Uden,Noord-Brabant,Zuid-Nederland
1498,Udenhout,Tilburg,Noord-Brabant,Zuid-Nederland
1499,Uffelte,Westerveld,Drenthe,Noord-Nederland
1500,Ugchelen,Apeldoorn,Gelderland,Oost-Nederland
1501,Uitdam,Waterland,Noord-Holland,West-Nederland
1502,Uitgeest,Uitgeest,Noord-Holland,West-Nederland
1503,Uithoorn,Uithoorn,Noord-Holland,West-Nederland
1504,Uithuizen,HetHogeland,Groningen,Noord-Nederland
1505,Uithuizermeeden,HetHogeland,Groningen,Noord-Nederland
1506,Uitwellingerga,Súdwest-Fryslân,Friesland,Noord-Nederland
1507,Uitwijk,Altena,Noord-Brabant,Zuid-Nederland
1508,Ulestraten,Meerssen,Limburg,Zuid-Nederland
1509,Ulft,OudeIJsselstreek,Gelderland,Oost-Nederland
1510,Ulicoten,Baarle-Nassau,Noord-Brabant,Zuid-Nederland
1511,Ulrum,HetHogeland,Groningen,Noord-Nederland
1512,Ulvenhout,Breda,Noord-Brabant,Zuid-Nederland
1513,Ulvenhout AC,Alphen-Chaam,Noord-Brabant,Zuid-Nederland
1514,Bron: CBS,,,
1515,Lioessens,Noardeast-Fryslân,Friesland,Noord-Nederland
1516,Lippenhuizen,Opsterland,Friesland,Noord-Nederland
1517,Lisse,Lisse,Zuid-Holland,West-Nederland
1518,Lisserbroek,Haarlemmermeer,Noord-Holland,West-Nederland
1519,Lith,Oss,Noord-Brabant,Zuid-Nederland
1520,Lithoijen,Oss,Noord-Brabant,Zuid-Nederland
1521,Lobith,Zevenaar,Gelderland,Oost-Nederland
1522,Lochem,Lochem,Gelderland,Oost-Nederland
1523,Loenen,Apeldoorn,Gelderland,Oost-Nederland
1524,Loenen aan de Vecht,StichtseVecht,Utrecht,West-Nederland
1525,Loenersloot,StichtseVecht,Utrecht,West-Nederland
1526,Loënga,Súdwest-Fryslân,Friesland,Noord-Nederland
1527,Loerbeek,Montferland,Gelderland,Oost-Nederland
1528,Lollum,Súdwest-Fryslân,Friesland,Noord-Nederland
1529,Lomm,Venlo,Limburg,Zuid-Nederland
1530,Longerhouw,Súdwest-Fryslân,Friesland,Noord-Nederland
1531,Loo Gld,Duiven,Gelderland,Oost-Nederland
1532,Loo Gld,Lingewaard,Gelderland,Oost-Nederland
1533,'t Loo Oldebroek,Oldebroek,Gelderland,Oost-Nederland
1534,Loon,Assen,Drenthe,Noord-Nederland
1535,Loon op Zand,LoonopZand,Noord-Brabant,Zuid-Nederland
1536,Loosbroek,Bernheze,Noord-Brabant,Zuid-Nederland
1537,Loosdrecht,Wijdemeren,Noord-Holland,West-Nederland
1538,Loozen,Hardenberg,Overijssel,Oost-Nederland
1539,Lopik,Lopik,Utrecht,West-Nederland
1540,Lopikerkapel,Lopik,Utrecht,West-Nederland
1541,Loppersum,Loppersum,Groningen,Noord-Nederland
1542,Losdorp,Delfzijl,Groningen,Noord-Nederland
1543,Losser,Losser,Overijssel,Oost-Nederland
1544,Lottum,HorstaandeMaas,Limburg,Zuid-Nederland
1545,Lucaswolde,Westerkwartier,Groningen,Noord-Nederland
1546,Luddeweer,Midden-Groningen,Groningen,Noord-Nederland
1547,Luinjeberd,Heerenveen,Friesland,Noord-Nederland
1548,Lunteren,Ede,Gelderland,Oost-Nederland
1549,Lutjebroek,StedeBroec,Noord-Holland,West-Nederland
1550,Lutjegast,Westerkwartier,Groningen,Noord-Nederland
1551,Lutjewinkel,HollandsKroon,Noord-Holland,West-Nederland
1552,de Lutte,Losser,Overijssel,Oost-Nederland
1553,Luttelgeest,Noordoostpolder,Flevoland,Oost-Nederland
1554,Lutten,Hardenberg,Overijssel,Oost-Nederland
1555,Luttenberg,Raalte,Overijssel,Oost-Nederland
1556,Luxwoude,Opsterland,Friesland,Noord-Nederland
1557,Luyksgestel,Bergeijk,Noord-Brabant,Zuid-Nederland
1558,Lytsewierrum,Súdwest-Fryslân,Friesland,Noord-Nederland
1559,Maarheeze,Cranendonck,Noord-Brabant,Zuid-Nederland
1560,Maarn,UtrechtseHeuvelrug,Utrecht,West-Nederland
1561,Maarsbergen,UtrechtseHeuvelrug,Utrecht,West-Nederland
1562,Maarssen,StichtseVecht,Utrecht,West-Nederland
1563,Maartensdijk,DeBilt,Utrecht,West-Nederland
1564,Maasbommel,WestMaasenWaal,Gelderland,Oost-Nederland
1565,Maasbracht,Maasgouw,Limburg,Zuid-Nederland
1566,Maasbree,PeelenMaas,Limburg,Zuid-Nederland
1567,Maasdam,HoekscheWaard,Zuid-Holland,West-Nederland
1568,Maasdijk,Westland,Zuid-Holland,West-Nederland
1569,Maashees,Boxmeer,Noord-Brabant,Zuid-Nederland
1570,Maasland,Midden-Delfland,Zuid-Holland,West-Nederland
1571,Maassluis,Maassluis,Zuid-Holland,West-Nederland
1572,Maastricht,Maastricht,Limburg,Zuid-Nederland
1573,Maastricht-Airport,Beek,Limburg,Zuid-Nederland
1574,Maasvlakte Rotterdam,Rotterdam,Zuid-Holland,West-Nederland
1575,Macharen,Oss,Noord-Brabant,Zuid-Nederland
1576,Made,Drimmelen,Noord-Brabant,Zuid-Nederland
1577,Makkinga,Ooststellingwerf,Friesland,Noord-Nederland
1578,Makkum,Súdwest-Fryslân,Friesland,Noord-Nederland
1579,Malden,Heumen,Gelderland,Oost-Nederland
1580,Mander,Tubbergen,Overijssel,Oost-Nederland
1581,Manderveen,Tubbergen,Overijssel,Oost-Nederland
1582,Mantgum,Leeuwarden,Friesland,Noord-Nederland
1583,Mantinge,Midden-Drenthe,Drenthe,Noord-Nederland
1584,Maren-Kessel,Oss,Noord-Brabant,Zuid-Nederland
1585,Margraten,Eijsden-Margraten,Limburg,Zuid-Nederland
1586,Maria Hoop,Echt-Susteren,Limburg,Zuid-Nederland
1587,Mariahout,Laarbeek,Noord-Brabant,Zuid-Nederland
1588,Mariaparochie,Tubbergen,Overijssel,Oost-Nederland
1589,Mariënberg,Hardenberg,Overijssel,Oost-Nederland
1590,Mariënheem,Raalte,Overijssel,Oost-Nederland
1591,Mariënvelde,OostGelre,Gelderland,Oost-Nederland
1592,Marijenkampen,Steenwijkerland,Overijssel,Oost-Nederland
1593,Markelo,HofvanTwente,Overijssel,Oost-Nederland
1594,Marken,Waterland,Noord-Holland,West-Nederland
1595,Markenbinnen,Alkmaar,Noord-Holland,West-Nederland
1596,Marknesse,Noordoostpolder,Flevoland,Oost-Nederland
1597,Marle,Olst-Wijhe,Overijssel,Oost-Nederland
1598,Marrum,Noardeast-Fryslân,Friesland,Noord-Nederland
1599,Marsum,Waadhoeke,Friesland,Noord-Nederland
1600,Marum,Westerkwartier,Groningen,Noord-Nederland
1601,Marwijksoord,AaenHunze,Drenthe,Noord-Nederland
1602,Mastenbroek,Zwartewaterland,Overijssel,Oost-Nederland
1603,Mastenbroek,Kampen,Overijssel,Oost-Nederland
1604,Matsloot,Noordenveld,Drenthe,Noord-Nederland
1605,Maurik,Buren,Gelderland,Oost-Nederland
1606,Mechelen,Gulpen-Wittem,Limburg,Zuid-Nederland
1607,Medemblik,Medemblik,Noord-Holland,West-Nederland
1608,Meeden,Midden-Groningen,Groningen,Noord-Nederland
1609,Meedhuizen,Delfzijl,Groningen,Noord-Nederland
1610,Meerkerk,Vijfheerenlanden,Utrecht,West-Nederland
1611,Meerlo,HorstaandeMaas,Limburg,Zuid-Nederland
1612,De Meern,Utrecht,Utrecht,West-Nederland
1613,Meerssen,Meerssen,Limburg,Zuid-Nederland
1614,Meerstad,Groningen,Groningen,Noord-Nederland
1615,Bron: CBS,,,
1616,Nieuw Beerta,Oldambt,Groningen,Noord-Nederland
1617,Nieuw- en Sint Joosland,Middelburg,Zeeland,West-Nederland
1618,Nieuw Heeten,Raalte,Overijssel,Oost-Nederland
1619,Nieuw Namen,Hulst,Zeeland,West-Nederland
1620,Nieuw Scheemda,Oldambt,Groningen,Noord-Nederland
1621,Nieuwaal,Zaltbommel,Gelderland,Oost-Nederland
1622,Nieuw-Amsterdam,Emmen,Drenthe,Noord-Nederland
1623,Nieuw-Balinge,Midden-Drenthe,Drenthe,Noord-Nederland
1624,Nieuw-Beijerland,HoekscheWaard,Zuid-Holland,West-Nederland
1625,Nieuw-Buinen,Borger-Odoorn,Drenthe,Noord-Nederland
1626,Nieuw-Dordrecht,Emmen,Drenthe,Noord-Nederland
1627,Nieuwdorp,Borsele,Zeeland,West-Nederland
1628,Nieuwe Niedorp,HollandsKroon,Noord-Holland,West-Nederland
1629,Nieuwe Pekela,Pekela,Groningen,Noord-Nederland
1630,Nieuwe Wetering,KaagenBraassem,Zuid-Holland,West-Nederland
1631,Nieuwebrug,Heerenveen,Friesland,Noord-Nederland
1632,Nieuwediep,AaenHunze,Drenthe,Noord-Nederland
1633,Nieuwegein,Nieuwegein,Utrecht,West-Nederland
1634,Nieuwehorne,Heerenveen,Friesland,Noord-Nederland
1635,Nieuwendijk,Altena,Noord-Brabant,Zuid-Nederland
1636,Nieuwer Ter Aa,StichtseVecht,Utrecht,West-Nederland
1637,Nieuwerbrug aan den Rijn,Bodegraven-Reeuwijk,Zuid-Holland,West-Nederland
1638,Nieuwerkerk,Schouwen-Duiveland,Zeeland,West-Nederland
1639,Nieuwerkerk aan den IJssel,Zuidplas,Zuid-Holland,West-Nederland
1640,Nieuweroord,Hoogeveen,Drenthe,Noord-Nederland
1641,Nieuweroord,Midden-Drenthe,Drenthe,Noord-Nederland
1642,Nieuwersluis,StichtseVecht,Utrecht,West-Nederland
1643,Nieuweschoot,Heerenveen,Friesland,Noord-Nederland
1644,Nieuwe-Tonge,Goeree-Overflakkee,Zuid-Holland,West-Nederland
1645,Nieuwkoop,Nieuwkoop,Zuid-Holland,West-Nederland
1646,Nieuwkuijk,Heusden,Noord-Brabant,Zuid-Nederland
1647,Nieuwland,Vijfheerenlanden,Utrecht,West-Nederland
1648,Nieuwlande,Hoogeveen,Drenthe,Noord-Nederland
1649,Nieuwlande Coevorden,Coevorden,Drenthe,Noord-Nederland
1650,Nieuw-Lekkerland,Molenlanden,Zuid-Holland,West-Nederland
1651,Nieuwleusen,Dalfsen,Overijssel,Oost-Nederland
1652,Nieuwolda,Oldambt,Groningen,Noord-Nederland
1653,Nieuwpoort,Molenlanden,Zuid-Holland,West-Nederland
1654,Nieuw-Roden,Noordenveld,Drenthe,Noord-Nederland
1655,Nieuw-Schoonebeek,Emmen,Drenthe,Noord-Nederland
1656,Nieuwstadt,Echt-Susteren,Limburg,Zuid-Nederland
1657,Nieuwveen,Nieuwkoop,Zuid-Holland,West-Nederland
1658,Nieuw-Vennep,Haarlemmermeer,Noord-Holland,West-Nederland
1659,Nieuwvliet,Sluis,Zeeland,West-Nederland
1660,Nieuw-Vossemeer,Steenbergen,Noord-Brabant,Zuid-Nederland
1661,Nieuw-Weerdinge,Emmen,Drenthe,Noord-Nederland
1662,Niezijl,Westerkwartier,Groningen,Noord-Nederland
1663,Niftrik,Wijchen,Gelderland,Oost-Nederland
1664,Nigtevecht,StichtseVecht,Utrecht,West-Nederland
1665,Nij Altoenae,Waadhoeke,Friesland,Noord-Nederland
1666,Nij Beets,Opsterland,Friesland,Noord-Nederland
1667,Nijbroek,Voorst,Gelderland,Oost-Nederland
1668,Nijeberkoop,Ooststellingwerf,Friesland,Noord-Nederland
1669,Nijega,Smallingerland,Friesland,Noord-Nederland
1670,Nijehaske,DeFryskeMarren,Friesland,Noord-Nederland
1671,Nijeholtpade,Weststellingwerf,Friesland,Noord-Nederland
1672,Nijeholtwolde,Weststellingwerf,Friesland,Noord-Nederland
1673,Nijelamer,Weststellingwerf,Friesland,Noord-Nederland
1674,Nijemirdum,DeFryskeMarren,Friesland,Noord-Nederland
1675,Nijensleek,Westerveld,Drenthe,Noord-Nederland
1676,Nijetrijne,Weststellingwerf,Friesland,Noord-Nederland
1677,Nijeveen,Meppel,Drenthe,Noord-Nederland
1678,Nijhuizum,Súdwest-Fryslân,Friesland,Noord-Nederland
1679,Nijkerk,Nijkerk,Gelderland,Oost-Nederland
1680,Nijkerkerveen,Nijkerk,Gelderland,Oost-Nederland
1681,Nijland,Súdwest-Fryslân,Friesland,Noord-Nederland
1682,Nijlande,AaenHunze,Drenthe,Noord-Nederland
1683,Nijmegen,Nijmegen,Gelderland,Oost-Nederland
1684,Nijverdal,Hellendoorn,Overijssel,Oost-Nederland
1685,Nispen,Roosendaal,Noord-Brabant,Zuid-Nederland
1686,Nisse,Borsele,Zeeland,West-Nederland
1687,Nistelrode,Bernheze,Noord-Brabant,Zuid-Nederland
1688,Noardburgum,Tytsjerksteradiel,Friesland,Noord-Nederland
1689,Nooitgedacht,AaenHunze,Drenthe,Noord-Nederland
1690,Noorbeek,Eijsden-Margraten,Limburg,Zuid-Nederland
1691,Noordbeemster,Beemster,Noord-Holland,West-Nederland
1692,Noordbroek,Midden-Groningen,Groningen,Noord-Nederland
1693,Noordeinde,Alkmaar,Noord-Holland,West-Nederland
1694,Noordeinde Gld,Oldebroek,Gelderland,Oost-Nederland
1695,Noordeloos,Molenlanden,Zuid-Holland,West-Nederland
1696,Noorden,Nieuwkoop,Zuid-Holland,West-Nederland
1697,Noordgouwe,Schouwen-Duiveland,Zeeland,West-Nederland
1698,Noordhoek,Moerdijk,Noord-Brabant,Zuid-Nederland
1699,Noordhorn,Westerkwartier,Groningen,Noord-Nederland
1700,Noordlaren,Groningen,Groningen,Noord-Nederland
1701,Noord-Scharwoude,Langedijk,Noord-Holland,West-Nederland
1702,Noordscheschut,Hoogeveen,Drenthe,Noord-Nederland
1703,Noord-Sleen,Coevorden,Drenthe,Noord-Nederland
1704,Noordwelle,Schouwen-Duiveland,Zeeland,West-Nederland
1705,Noordwijk,Westerkwartier,Groningen,Noord-Nederland
1706,Noordwijk,Noordwijk,Zuid-Holland,West-Nederland
1707,Noordwijkerhout,Noordwijk,Zuid-Holland,West-Nederland
1708,Noordwolde,HetHogeland,Groningen,Noord-Nederland
1709,Noordwolde,Weststellingwerf,Friesland,Noord-Nederland
1710,Nootdorp,Pijnacker-Nootdorp,Zuid-Holland,West-Nederland
1711,Norg,Noordenveld,Drenthe,Noord-Nederland
1712,Notter,Wierden,Overijssel,Oost-Nederland
1713,Nuenen,"Nuenen,GerwenenNederwetten",Noord-Brabant,Zuid-Nederland
1714,Nuis,Westerkwartier,Groningen,Noord-Nederland
1715,Nuland,'s-Hertogenbosch,Noord-Brabant,Zuid-Nederland
1716,Bron: CBS,,,
1717,Woudsend,Súdwest-Fryslân,Friesland,Noord-Nederland
1718,Wouw,Roosendaal,Noord-Brabant,Zuid-Nederland
1719,Wouwse Plantage,Roosendaal,Noord-Brabant,Zuid-Nederland
1720,Wyns,Tytsjerksteradiel,Friesland,Noord-Nederland
1721,Wytgaard,Leeuwarden,Friesland,Noord-Nederland
1722,Yde,Tynaarlo,Drenthe,Noord-Nederland
1723,Yerseke,Reimerswaal,Zeeland,West-Nederland
1724,Ypecolsga,Súdwest-Fryslân,Friesland,Noord-Nederland
1725,Ysbrechtum,Súdwest-Fryslân,Friesland,Noord-Nederland
1726,Ysselsteyn,Venray,Limburg,Zuid-Nederland
1727,Zaamslag,Terneuzen,Zeeland,West-Nederland
1728,Zaandam,Zaanstad,Noord-Holland,West-Nederland
1729,Zaandijk,Zaanstad,Noord-Holland,West-Nederland
1730,Zalk,Kampen,Overijssel,Oost-Nederland
1731,Zaltbommel,Zaltbommel,Gelderland,Oost-Nederland
1732,'t Zand,Schagen,Noord-Holland,West-Nederland
1733,Zandberg,Borger-Odoorn,Drenthe,Noord-Nederland
1734,Zandeweer,HetHogeland,Groningen,Noord-Nederland
1735,Zandhuizen,Weststellingwerf,Friesland,Noord-Nederland
1736,Zandpol,Emmen,Drenthe,Noord-Nederland
1737,'t Zandt,Loppersum,Groningen,Noord-Nederland
1738,Zandvoort,Zandvoort,Noord-Holland,West-Nederland
1739,Zeddam,Montferland,Gelderland,Oost-Nederland
1740,Zeegse,Tynaarlo,Drenthe,Noord-Nederland
1741,Zeeland,Landerd,Noord-Brabant,Zuid-Nederland
1742,Zeerijp,Loppersum,Groningen,Noord-Nederland
1743,Zeewolde,Zeewolde,Flevoland,Oost-Nederland
1744,Zegge,Rucphen,Noord-Brabant,Zuid-Nederland
1745,Zegveld,Woerden,Utrecht,West-Nederland
1746,Zeijen,Tynaarlo,Drenthe,Noord-Nederland
1747,Zeijerveen,Assen,Drenthe,Noord-Nederland
1748,Zeijerveld,Assen,Drenthe,Noord-Nederland
1749,Zeist,Zeist,Utrecht,West-Nederland
1750,Zelhem,Bronckhorst,Gelderland,Oost-Nederland
1751,Zenderen,Borne,Overijssel,Oost-Nederland
1752,Zennewijnen,Tiel,Gelderland,Oost-Nederland
1753,Zennewijnen,WestBetuwe,Gelderland,Oost-Nederland
1754,Zetten,Overbetuwe,Gelderland,Oost-Nederland
1755,Zevenaar,Zevenaar,Gelderland,Oost-Nederland
1756,Zevenbergen,Moerdijk,Noord-Brabant,Zuid-Nederland
1757,Zevenbergschen Hoek,Moerdijk,Noord-Brabant,Zuid-Nederland
1758,Zevenbergschen Hoek,Drimmelen,Noord-Brabant,Zuid-Nederland
