;Woonplaatsen;Provincie;Landsdeel;Gemeente;Lattitude;Longitude;Population;Coordinates;L1;l2;L3;Lat;L1.1;L1.2;L.1.3;Long;
1646;Oudorp;Noord-Holland;West-Nederland           ;Alkmaar                            ;52.63333333333333;4.766666666666667;630;['52° 38′ NB, 4° 46′ OL'];;;;0;;;;0;
1659;Overveen;Noord-Holland;West-Nederland           ;Bloemendaal                        ;52.4;4.616666666666667;4.590 (1.088 inw./km²);['52° 24′ NB, 4° 37′ OL'];;;;0;;;;0;
1679;Petten;Noord-Holland;West-Nederland           ;Schagen                            ;52.766666666666666;4.666666666666667;1.645;['52° 46′ NB, 4° 40′ OL'];;;;0;;;;0;
1702;Purmer;Noord-Holland;West-Nederland           ;Edam-Volendam                      ;;;nvt;;;;;0;;;;0;
1703;Purmer;Noord-Holland;West-Nederland           ;Waterland                          ;;;nvt;;;;;0;;;;0;
1704;Purmerend;Noord-Holland;West-Nederland           ;Purmerend                          ;52.5;4.966666666666667;81.775? (3.532 inw./km²);"[""52°30'NB, 4°58'OL""]";;;;0;;;;0;
1705;Purmerland;Noord-Holland;West-Nederland           ;Landsmeer                          ;52.483333333333334;4.916666666666667;365;['52° 29′ NB, 4° 55′ OL'];;;;0;;;;0;
1758;De Rijp;Noord-Holland;West-Nederland           ;Alkmaar                            ;;;3985;52° 33′ NB, 4° 51′ OL;;;;0;;;;0;
1762;Rijsenhout;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;52.266666666666666;4.7;4.230 (525 inw./km²);['52° 16′ NB, 4° 42′ OL'];;;;0;;;;0;
1797;Rozenburg;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;52.28333333333333;4.733333333333333;60 (17 inw./km²);['52° 17′ NB, 4° 44′ OL'];;;;0;;;;0;
1813;Santpoort-Noord;Noord-Holland;West-Nederland           ;Velsen                             ;52.43333333333333;4.566666666666666;7.210;"[""52°26'NB, 4°34'OL""]";;;;0;;;;0;
1814;Santpoort-Zuid;Noord-Holland;West-Nederland           ;Velsen                             ;52.416666666666664;4.633333333333333;3.310;['52° 25′ NB, 4° 38′ OL'];;;;0;;;;0;
1819;Schagen;Noord-Holland;West-Nederland           ;Schagen                            ;52.78333333333333;4.8;19.020;['52° 47′ NB, 4° 48′ OL'];;;;0;;;;0;
1820;Schagerbrug;Noord-Holland;West-Nederland           ;Schagen                            ;52.801944444444445;4.7588888888888885;2.080;"['52°48\'7""NB, 4°45\'32""OL']";;;;0;;;;0;
1825;Schardam;Noord-Holland;West-Nederland           ;Edam-Volendam                      ;52.6;5.016666666666667;110 (47 inw./km²);['52° 36′ NB, 5° 1′ OL'];;;;0;;;;0;
1830;Scharwoude;Noord-Holland;West-Nederland           ;Koggenland                         ;52.62305555555555;5.008055555555556;435;"['52°37\'23""NB, 5°0\'29""OL']";;;;0;;;;0;
1833;Schellinkhout;Noord-Holland;West-Nederland           ;Drechterland                       ;52.63333333333333;5.116666666666666;905 (120 inw./km²);['52° 38′ NB, 5° 7′ OL'];;;;0;;;;0;
1835;Schermerhorn;Noord-Holland;West-Nederland           ;Alkmaar                            ;52.6;4.883333333333333;1.265;['52° 36′ NB, 4° 53′ OL'];;;;0;;;;0;
1851;Schiphol;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;;;nvt;;;;;0;;;;0;
1852;Schiphol-Rijk;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;;;nvt;;;;;0;;;;0;
1862;Schoorl;Noord-Holland;West-Nederland           ;Bergen (NH.)                       ;52.70111111111111;4.693888888888889;4.595;"['52°42\'4""NB, 4°41\'38""OL']";;;;0;;;;0;
1880;Sijbekarspel;Noord-Holland;West-Nederland           ;Medemblik                          ;52.71666666666667;4.983333333333333;950;['52° 43′ NB, 4° 59′ OL'];;;;0;;;;0;
1894;Sint Maarten;Noord-Holland;West-Nederland           ;Schagen                            ;;;1895;52° 46′ NB, 4° 45′ OL;;;;0;;;;0;
1895;Sint Maartensbrug;Noord-Holland;West-Nederland           ;Schagen                            ;;;725;52° 47′ NB, 4° 44′ OL;;;;0;;;;0;
1896;Sint Maartensvlotbrug;Noord-Holland;West-Nederland           ;Schagen                            ;;;625;52° 47′ NB, 4° 42′ OL;;;;0;;;;0;
1899;Sint Pancras;Noord-Holland;West-Nederland           ;Langedijk                          ;;;6050;52° 40′ NB, 4° 47′ OL;;;;0;;;;0;
1921;Slootdorp;Noord-Holland;West-Nederland           ;Hollands Kroon                     ;52.85;4.966666666666667;2.270;['52° 51′ NB, 4° 58′ OL'];;;;0;;;;0;
1941;Spaarndam-Oost;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;;;3265;52° 25′ NB, 4° 41′ OL;;;;0;;;;0;
1942;Spaarndam-West;Noord-Holland;West-Nederland           ;Haarlem                            ;;;625;52° 25′ NB, 4° 41′ OL;;;;0;;;;0;
1943;Spanbroek;Noord-Holland;West-Nederland           ;Opmeer                             ;52.7;4.966666666666667;4.255;['52° 42′ NB, 4° 58′ OL'];;;;0;;;;0;
1950;Spierdijk;Noord-Holland;West-Nederland           ;Koggenland                         ;52.65;4.938888888888889;1.430;"['52°39\'0""NB, 4°56\'20""OL']";;;;0;;;;0;
1956;Spijkerboor;Noord-Holland;West-Nederland           ;Wormerland                         ;52.53333333333333;4.833333333333333;25;['52° 32′ NB, 4° 50′ OL'];;;;0;;;;0;
1965;Starnmeer;Noord-Holland;West-Nederland           ;Alkmaar                            ;52.55;4.8;215 (32 inw./km²);['52° 33′ NB, 4° 48′ OL'];;;;0;;;;0;
1993;Stompetoren;Noord-Holland;West-Nederland           ;Alkmaar                            ;52.61666666666667;4.816666666666666;1.945;['52° 37′ NB, 4° 49′ OL'];;;;0;;;;0;
2069;Tuitjenhorn;Noord-Holland;West-Nederland           ;Schagen                            ;52.733333333333334;4.75;3.785;['52° 44′ NB, 4° 45′ OL'];;;;0;;;;0;
2075;Twisk;Noord-Holland;West-Nederland           ;Medemblik                          ;52.733333333333334;5.05;1.090;['52° 44′ NB, 5° 3′ OL'];;;;0;;;;0;
2087;Uitdam;Noord-Holland;West-Nederland           ;Waterland                          ;52.416666666666664;5.066666666666666;130;['52° 25′ NB, 5° 4′ OL'];;;;0;;;;0;
2088;Uitgeest;Noord-Holland;West-Nederland           ;Uitgeest                           ;52.528888888888886;4.71;13.643? (712 inw./km²);"['52°31\'44""NB, 4°42\'36""OL']";;;;0;;;;0;
2089;Uithoorn;Noord-Holland;West-Nederland           ;Uithoorn                           ;52.24194444444444;4.825;29.817? (1.644 inw./km²);"['52°14\'31""NB, 4°49\'30""OL']";;;;0;;;;0;
2103;Ursem;Noord-Holland;West-Nederland           ;Alkmaar                            ;;;nvt;;;;;0;;;;0;
2104;Ursem;Noord-Holland;West-Nederland           ;Koggenland                         ;52.63333333333333;4.9;2.850;['52° 38′ NB, 4° 54′ OL'];;;;0;;;;0;
2133;'t Veld;Noord-Holland;West-Nederland           ;Hollands Kroon                     ;;;2275;52° 44′ NB, 4° 51′ OL;;;;0;;;;0;
2140;Velsen-Noord;Noord-Holland;West-Nederland           ;Velsen                             ;52.46666666666667;4.65;5.320;['52° 28′ NB, 4° 39′ OL'];;;;0;;;;0;
2141;Velsen-Zuid;Noord-Holland;West-Nederland           ;Velsen                             ;52.46666666666667;4.65;2.055;['52° 28′ NB, 4° 39′ OL'];;;;0;;;;0;
2142;Velserbroek;Noord-Holland;West-Nederland           ;Velsen                             ;52.43333333333333;4.65;15.480;['52° 26′ NB, 4° 39′ OL'];;;;0;;;;0;
2145;Venhuizen;Noord-Holland;West-Nederland           ;Drechterland                       ;52.666666666666664;5.216666666666667;4.105;['52° 40′ NB, 5° 13′ OL'];;;;0;;;;0;
2159;Vijfhuizen;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;52.35;4.676944444444445;4.775;"['52°21\'0""NB, 4°40\'37""OL']";;;;0;;;;0;
2181;Vogelenzang;Noord-Holland;West-Nederland           ;Bloemendaal                        ;52.31666666666667;4.583333333333333;2.175 (273 inw./km²);['52° 19′ NB, 4° 35′ OL'];;;;0;;;;0;
2183;Volendam;Noord-Holland;West-Nederland           ;Edam-Volendam                      ;52.5;5.066666666666666;22.505;['52° 30′ NB, 5° 4′ OL'];;;;0;;;;0;
2212;De Waal;Noord-Holland;West-Nederland           ;Texel                              ;;;285;53° 4′ NB, 4° 49′ OL;;;;0;;;;0;
2220;Waarland;Noord-Holland;West-Nederland           ;Schagen                            ;52.726111111111116;4.831944444444444;2.625;"['52°43\'34""NB, 4°49\'55""OL']";;;;0;;;;0;
2239;Warder;Noord-Holland;West-Nederland           ;Edam-Volendam                      ;52.6;5.033333333333333;805 (75 inw./km²);['52° 36′ NB, 5° 2′ OL'];;;;0;;;;0;
2243;Warmenhuizen;Noord-Holland;West-Nederland           ;Schagen                            ;52.71666666666667;4.733333333333333;6.095;['52° 43′ NB, 4° 44′ OL'];;;;0;;;;0;
2253;Watergang;Noord-Holland;West-Nederland           ;Waterland                          ;52.43333333333333;4.95;505;"[""52°26'NB, 4°57'OL""]";;;;0;;;;0;
2259;De Weere;Noord-Holland;West-Nederland           ;Opmeer                             ;;;870;52° 43′ NB, 4° 60′ OL;;;;0;;;;0;
2262;Weesp;Noord-Holland;West-Nederland           ;Weesp                              ;52.516666666666666;5.05;20.219? (887 inw./km²);['52° 31′ NB, 5° 3′ OL'];;;;0;;;;0;
2278;Wervershoof;Noord-Holland;West-Nederland           ;Medemblik                          ;52.733333333333334;5.15;8.055;['52° 44′ NB, 5° 9′ OL'];;;;0;;;;0;
2281;Westbeemster;Noord-Holland;West-Nederland           ;Beemster                           ;52.56666666666667;4.9;820;['52° 34′ NB, 4° 54′ OL'];;;;0;;;;0;
2294;Westerland;Noord-Holland;West-Nederland           ;Hollands Kroon                     ;52.89388888888889;4.931111111111111;900;"['52°53\'38""NB, 4°55\'52""OL']";;;;0;;;;0;
2300;West-Graftdijk;Noord-Holland;West-Nederland           ;Alkmaar                            ;52.55;4.8;775;['52° 33′ NB, 4° 48′ OL'];;;;0;;;;0;
2304;Westknollendam;Noord-Holland;West-Nederland           ;Zaanstad                           ;52.516666666666666;4.783333333333333;460;['52° 31′ NB, 4° 47′ OL'];;;;0;;;;0;
2307;Westwoud;Noord-Holland;West-Nederland           ;Drechterland                       ;52.68333333333333;5.133333333333334;1.785 (708 inw./km²);['52° 41′ NB, 5° 8′ OL'];;;;0;;;;0;
2308;Westzaan;Noord-Holland;West-Nederland           ;Zaanstad                           ;52.46666666666667;4.766666666666667;4.680;['52° 28′ NB, 4° 46′ OL'];;;;0;;;;0;
2310;Weteringbrug;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;52.221944444444446;4.643888888888888;360;"['52°13\'19""NB, 4°38\'38""OL']";;;;0;;;;0;
2320;Wieringerwaard;Noord-Holland;West-Nederland           ;Hollands Kroon                     ;;;nvt;;;;;0;;;;0;
2321;Wieringerwerf;Noord-Holland;West-Nederland           ;Hollands Kroon                     ;52.85;5.016666666666667;5.915;['52° 51′ NB, 5° 1′ OL'];;;;0;;;;0;
2325;Wijdenes;Noord-Holland;West-Nederland           ;Drechterland                       ;52.63333333333333;5.166666666666667;1.305 (229 inw./km²);['52° 38′ NB, 5° 10′ OL'];;;;0;;;;0;
2326;Wijdewormer;Noord-Holland;West-Nederland           ;Wormerland                         ;52.483333333333334;4.866666666666667;1.990 (118 inw./km²);['52° 29′ NB, 4° 52′ OL'];;;;0;;;;0;
2329;Wijk aan Zee;Noord-Holland;West-Nederland           ;Beverwijk                          ;;;2155;52° 30′ NB, 4° 36′ OL;;;;0;;;;0;
2352;Winkel;Noord-Holland;West-Nederland           ;Hollands Kroon                     ;52.75;4.9;3.515;['52° 45′ NB, 4° 54′ OL'];;;;0;;;;0;
2383;Wognum;Noord-Holland;West-Nederland           ;Medemblik                          ;52.68333333333333;5.016666666666667;6.285;['52° 41′ NB, 5° 1′ OL'];;;;0;;;;0;
2393;Wormer;Noord-Holland;West-Nederland           ;Wormerland                         ;52.5;4.816666666666666;12.995 (808 inw./km²);['52° 30′ NB, 4° 49′ OL'];;;;0;;;;0;
2394;Wormerveer;Noord-Holland;West-Nederland           ;Zaanstad                           ;52.5;4.783333333333333;11.340;['52° 30′ NB, 4° 47′ OL'];;;;0;;;;0;
2397;de Woude;Noord-Holland;West-Nederland           ;Castricum                          ;;;165;52° 33′ NB, 4° 47′ OL;;;;0;;;;0;
2411;Zaandam;Noord-Holland;West-Nederland           ;Zaanstad                           ;52.45;4.833333333333333;78.275 (3.403 inw./km²);['52° 27′ NB, 4° 50′ OL'];;;;0;;;;0;
2412;Zaandijk;Noord-Holland;West-Nederland           ;Zaanstad                           ;52.46666666666667;4.8;8.705 (4.049 inw./km²);['52° 28′ NB, 4° 48′ OL'];;;;0;;;;0;
2415;'t Zand;Noord-Holland;West-Nederland           ;Schagen                            ;;;2430;"52°50'6""NB, 4°45'25""OL";;;;0;;;;0;
2421;Zandvoort;Noord-Holland;West-Nederland           ;Zandvoort                          ;52.61666666666667;4.866666666666667;17.116? (533 inw./km²);['52° 37′ NB, 4° 52′ OL'];;;;0;;;;0;
2448;Zijdewind;Noord-Holland;West-Nederland           ;Hollands Kroon                     ;52.75;4.833333333333333;290;['52° 45′ NB, 4° 50′ OL'];;;;0;;;;0;
2462;Zuidermeer;Noord-Holland;West-Nederland           ;Koggenland                         ;52.66611111111111;4.976111111111111;530;"['52°39\'58""NB, 4°58\'34""OL']";;;;0;;;;0;
2463;Zuiderwoude;Noord-Holland;West-Nederland           ;Waterland                          ;52.43333333333333;5.033333333333333;315 (48 inw./km²);['52° 26′ NB, 5° 2′ OL'];;;;0;;;;0;
2468;Zuidoostbeemster;Noord-Holland;West-Nederland           ;Beemster                           ;52.516666666666666;4.933333333333334;3.180;['52° 31′ NB, 4° 56′ OL'];;;;0;;;;0;
2469;Zuid-Scharwoude;Noord-Holland;West-Nederland           ;Langedijk                          ;52.68333333333333;4.8;6.100 (1.218 inw./km²);['52° 41′ NB, 4° 48′ OL'];;;;0;;;;0;
2470;Zuidschermer;Noord-Holland;West-Nederland           ;Alkmaar                            ;52.583333333333336;4.783333333333333;630;['52° 35′ NB, 4° 47′ OL'];;;;0;;;;0;
2483;Zwaag;Noord-Holland;West-Nederland           ;Hoorn                              ;;;16910;52° 40′ NB, 5° 5′ OL;;;;0;;;;0;
2484;Zwaagdijk-Oost;Noord-Holland;West-Nederland           ;Medemblik                          ;52.7;5.133333333333334;1.160;['52° 42′ NB, 5° 8′ OL'];;;;0;;;;0;
2485;Zwaagdijk-West;Noord-Holland;West-Nederland           ;Medemblik                          ;52.68333333333333;5.066666666666666;570;['52° 41′ NB, 5° 4′ OL'];;;;0;;;;0;
2486;Zwaanshoek;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;52.31194444444444;4.61888888888889;1.835;"['52°18\'43""NB, 4°37\'8""OL']";;;;0;;;;0;
2489;Zwanenburg;Noord-Holland;West-Nederland           ;Haarlemmermeer                     ;52.38333333333333;4.75;7.795;['52° 23′ NB, 4° 45′ OL'];;;;0;;;;0;
0;Aadorp;Overijssel;Oost-Nederland           ;Almelo                             ;52.38333333333333;6.633333333333333;1.520;['52° 23′ NB, 6° 38′ OL'];;;;0;;;;0;
31;Agelo;Overijssel;Oost-Nederland           ;Dinkelland                         ;52.38333333333333;6.883333333333333;575;['52° 23′ NB, 6° 53′ OL'];;;;0;;;;0;
35;Albergen;Overijssel;Oost-Nederland           ;Tubbergen                          ;52.36666666666667;6.766666666666667;3.600;['52° 22′ NB, 6° 46′ OL'];;;;0;;;;0;
43;Almelo;Overijssel;Oost-Nederland           ;Almelo                             ;52.36666666666667;6.666666666666667;73.175? (1.088 inw./km²);['52° 22′ NB, 6° 40′ OL'];;;;0;;;;0;
55;Ambt Delden;Overijssel;Oost-Nederland           ;Hof van Twente                     ;;;1740;52° 13′ NB, 6° 41′ OL;;;;0;;;;0;
73;Ane;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.61666666666667;6.65;545;['52° 37′ NB, 6° 39′ OL'];;;;0;;;;0;
74;Anerveen;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.63333333333333;6.666666666666667;150;['52° 38′ NB, 6° 40′ OL'];;;;0;;;;0;
75;Anevelde;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.6;6.65;45;['52° 36′ NB, 6° 39′ OL'];;;;0;;;;0;
96;Arriën;Overijssel;Oost-Nederland           ;Ommen                              ;;;335;52° 32′ NB, 6° 27′ OL;;;;0;;;;0;
117;Baarlo;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;52.733333333333334;5.95;45;['52° 44′ NB, 5° 57′ OL'];;;;0;;;;0;
119;Baars;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;52.81666666666667;6.083333333333333;90;['52° 49′ NB, 6° 5′ OL'];;;;0;;;;0;
132;Balkbrug;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.6;6.383333333333334;3.820;['52° 36′ NB, 6° 23′ OL'];;;;0;;;;0;
145;Basse;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;;;255;52° 48′ NB, 6° 2′ OL;;;;0;;;;0;
147;Bathmen;Overijssel;Oost-Nederland           ;Deventer                           ;52.25;6.283333333333333;5.650;['52° 15′ NB, 6° 17′ OL'];;;;0;;;;0;
161;Beerze;Overijssel;Oost-Nederland           ;Ommen                              ;52.516666666666666;6.533333333333333;200;['52° 31′ NB, 6° 32′ OL'];;;;0;;;;0;
162;Beerzerveld;Overijssel;Oost-Nederland           ;Ommen                              ;52.5;6.583333333333333;1.050;['52° 30′ NB, 6° 35′ OL'];;;;0;;;;0;
172;Belt-Schutsloot;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;52.666666666666664;6.066666666666666;585;['52° 40′ NB, 6° 4′ OL'];;;;0;;;;0;
181;Bentelo;Overijssel;Oost-Nederland           ;Hof van Twente                     ;52.21666666666667;6.683333333333334;1.720;['52° 13′ NB, 6° 41′ OL'];;;;0;;;;0;
192;Bergentheim;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.53333333333333;6.616666666666667;3.450;['52° 32′ NB, 6° 37′ OL'];;;;0;;;;0;
206;Beuningen;Overijssel;Oost-Nederland           ;Losser                             ;52.36666666666667;7.0;970;['52° 22′ NB, 6° 60′ OL'];;;;0;;;;0;
224;Blankenham;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;52.766666666666666;5.9;320 (49 inw./km²);['52° 46′ NB, 5° 54′ OL'];;;;0;;;;0;
238;Blokzijl;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;52.733333333333334;5.966666666666667;1.375;['52° 44′ NB, 5° 58′ OL'];;;;0;;;;0;
261;Borne;Overijssel;Oost-Nederland           ;Borne                              ;52.3;6.75;23.489? (903 inw./km²);['52° 18′ NB, 6° 45′ OL'];;;;0;;;;0;
262;Bornerbroek;Overijssel;Oost-Nederland           ;Almelo                             ;52.31666666666667;6.65;1.870;['52° 19′ NB, 6° 39′ OL'];;;;0;;;;0;
298;Broekland;Overijssel;Oost-Nederland           ;Raalte                             ;52.36666666666667;6.2;1.130;['52° 22′ NB, 6° 12′ OL'];;;;0;;;;0;
305;Brucht;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.55;6.616666666666667;295;['52° 33′ NB, 6° 37′ OL'];;;;0;;;;0;
306;Bruchterveld;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.53333333333333;6.666666666666667;1.095;['52° 32′ NB, 6° 40′ OL'];;;;0;;;;0;
307;Bruinehaar;Overijssel;Oost-Nederland           ;Twenterand                         ;;;nvt;;;;;0;;;;0;
321;De Bult;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;;;345;52° 49′ NB, 6° 8′ OL;;;;0;;;;0;
352;Collendoorn;Overijssel;Oost-Nederland           ;Hardenberg                         ;;;365;52° 35′ NB, 6° 37′ OL;;;;0;;;;0;
353;Colmschate;Overijssel;Oost-Nederland           ;Deventer                           ;52.24888888888889;6.218055555555556;15.685;"['52°14\'56""NB, 6°13\'5""OL']";;;;0;;;;0;
361;Daarle;Overijssel;Oost-Nederland           ;Hellendoorn                        ;52.43333333333333;6.533333333333333;1.410;['52° 26′ NB, 6° 32′ OL'];;;;0;;;;0;
362;Daarlerveen;Overijssel;Oost-Nederland           ;Hellendoorn                        ;52.45;6.583333333333333;1.190;['52° 27′ NB, 6° 35′ OL'];;;;0;;;;0;
367;Dalfsen;Overijssel;Oost-Nederland           ;Dalfsen                            ;52.5;6.25;14.620;['52° 30′ NB, 6° 15′ OL'];;;;0;;;;0;
368;Dalmsholte;Overijssel;Oost-Nederland           ;Ommen                              ;52.483333333333334;6.366666666666666;340;['52° 29′ NB, 6° 22′ OL'];;;;0;;;;0;
372;Dedemsvaart;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.6;6.466666666666667;12.780;['52° 36′ NB, 6° 28′ OL'];;;;0;;;;0;
378;Delden;Overijssel;Oost-Nederland           ;Hof van Twente                     ;;;7410;52° 16′ NB, 6° 43′ OL;;;;0;;;;0;
385;Denekamp;Overijssel;Oost-Nederland           ;Dinkelland                         ;52.38333333333333;7.016666666666667;10.110;['52° 23′ NB, 7° 1′ OL'];;;;0;;;;0;
387;Deurningen;Overijssel;Oost-Nederland           ;Dinkelland                         ;52.3;6.833333333333333;1.980;['52° 18′ NB, 6° 50′ OL'];;;;0;;;;0;
388;Deurningen;Overijssel;Oost-Nederland           ;Oldenzaal                          ;;;nvt;;;;;0;;;;0;
391;Deventer;Overijssel;Oost-Nederland           ;Deventer                           ;52.25;6.166666666666667;80.730;['52° 15′ NB, 6° 10′ OL'];;;;0;;;;0;
395;Diepenheim;Overijssel;Oost-Nederland           ;Hof van Twente                     ;52.2;6.55;2.625;['52° 12′ NB, 6° 33′ OL'];;;;0;;;;0;
396;Diepenveen;Overijssel;Oost-Nederland           ;Deventer                           ;52.28333333333333;6.15;4.710;['52° 17′ NB, 6° 9′ OL'];;;;0;;;;0;
401;Diffelen;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.516666666666666;6.566666666666666;130;['52° 31′ NB, 6° 34′ OL'];;;;0;;;;0;
495;Eesveen;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;52.81666666666667;6.133333333333334;600;['52° 49′ NB, 6° 8′ OL'];;;;0;;;;0;
537;Enschede;Overijssel;Oost-Nederland           ;Enschede                           ;52.21666666666667;6.883333333333333;158.918? (1.128 inw./km²);['52° 13′ NB, 6° 53′ OL'];;;;0;;;;0;
539;Enter;Overijssel;Oost-Nederland           ;Wierden                            ;52.3;6.583333333333333;7.145;['52° 18′ NB, 6° 35′ OL'];;;;0;;;;0;
582;Fleringen;Overijssel;Oost-Nederland           ;Tubbergen                          ;52.38333333333333;6.8;885;['52° 23′ NB, 6° 48′ OL'];;;;0;;;;0;
617;Geerdijk;Overijssel;Oost-Nederland           ;Twenterand                         ;52.483333333333334;6.566666666666666;585 (189 inw./km²);['52° 29′ NB, 6° 34′ OL'];;;;0;;;;0;
624;Geesteren;Overijssel;Oost-Nederland           ;Tubbergen                          ;52.416666666666664;6.733333333333333;4.280;['52° 25′ NB, 6° 44′ OL'];;;;0;;;;0;
639;Genemuiden;Overijssel;Oost-Nederland           ;Zwartewaterland                    ;52.61666666666667;6.033333333333333;10.265;['52° 37′ NB, 6° 2′ OL'];;;;0;;;;0;
649;Giethmen;Overijssel;Oost-Nederland           ;Ommen                              ;52.5;6.4;205;['52° 30′ NB, 6° 24′ OL'];;;;0;;;;0;
650;Giethoorn;Overijssel;Oost-Nederland           ;Steenwijkerland                    ;52.733333333333334;6.083333333333333;2.765;['52° 44′ NB, 6° 5′ OL'];;;;0;;;;0;
653;Glane;Overijssel;Oost-Nederland           ;Losser                             ;52.233333333333334;7.0;465;['52° 14′ NB, 7° 0′ OL'];;;;0;;;;0;
663;Goor;Overijssel;Oost-Nederland           ;Hof van Twente                     ;52.233333333333334;6.583333333333333;12.125;['52° 14′ NB, 6° 35′ OL'];;;;0;;;;0;
675;Grafhorst;Overijssel;Oost-Nederland           ;Kampen                             ;52.583333333333336;5.933333333333334;1.020;['52° 35′ NB, 5° 56′ OL'];;;;0;;;;0;
677;Gramsbergen;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.61666666666667;6.666666666666667;3.165;['52° 37′ NB, 6° 40′ OL'];;;;0;;;;0;
713;Haaksbergen;Overijssel;Oost-Nederland           ;Haaksbergen                        ;52.15;6.733333333333333;24.275? (232 inw./km²);['52° 9′ NB, 6° 44′ OL'];;;;0;;;;0;
717;Haarle;Overijssel;Oost-Nederland           ;Tubbergen                          ;52.4;6.833333333333333;165;['52° 24′ NB, 6° 50′ OL'];;;;0;;;;0;
718;Haarle;Overijssel;Oost-Nederland           ;Hellendoorn                        ;52.36666666666667;6.383333333333334;2.155 (60 inw./km²);['52° 22′ NB, 6° 23′ OL'];;;;0;;;;0;
734;Den Ham;Overijssel;Oost-Nederland           ;Twenterand                         ;;;5880;52° 28′ NB, 6° 30′ OL;;;;0;;;;0;
744;Harbrinkhoek;Overijssel;Oost-Nederland           ;Tubbergen                          ;52.38333333333333;6.716666666666667;1.625;['52° 23′ NB, 6° 43′ OL'];;;;0;;;;0;
746;Hardenberg;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.583333333333336;6.616666666666667;19.335;['52° 35′ NB, 6° 37′ OL'];;;;0;;;;0;
764;Hasselt;Overijssel;Oost-Nederland           ;Zwartewaterland                    ;52.583333333333336;6.083333333333333;7.210;['52° 35′ NB, 6° 5′ OL'];;;;0;;;;0;
781;Heemserveen;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.583333333333336;6.566666666666666;475;['52° 35′ NB, 6° 34′ OL'];;;;0;;;;0;
791;'s-Heerenbroek;Overijssel;Oost-Nederland           ;Kampen                             ;;;675;52° 32′ NB, 6° 1′ OL;;;;0;;;;0;
803;Heeten;Overijssel;Oost-Nederland           ;Raalte                             ;52.333333333333336;6.283333333333333;3.660;['52° 20′ NB, 6° 17′ OL'];;;;0;;;;0;
821;Heino;Overijssel;Oost-Nederland           ;Raalte                             ;52.43333333333333;6.233333333333333;7.110;['52° 26′ NB, 6° 14′ OL'];;;;0;;;;0;
827;Hellendoorn;Overijssel;Oost-Nederland           ;Hellendoorn                        ;52.38333333333333;6.45;6.290;['52° 23′ NB, 6° 27′ OL'];;;;0;;;;0;
839;Hengelo;Overijssel;Oost-Nederland           ;Hengelo                            ;52.266666666666666;6.783333333333333;81.047? (1.332 inw./km²);['52° 16′ NB, 6° 47′ OL'];;;;0;;;;0;
841;Hengevelde;Overijssel;Oost-Nederland           ;Hof van Twente                     ;52.2;6.633333333333333;2.075;['52° 12′ NB, 6° 38′ OL'];;;;0;;;;0;
851;Hertme;Overijssel;Oost-Nederland           ;Borne                              ;52.31666666666667;6.75;520;['52° 19′ NB, 6° 45′ OL'];;;;0;;;;0;
865;Hezingen;Overijssel;Oost-Nederland           ;Tubbergen                          ;52.43333333333333;6.85;210;['52° 26′ NB, 6° 51′ OL'];;;;0;;;;0;
894;Hoge Hexel;Overijssel;Oost-Nederland           ;Wierden                            ;;;1065;52° 24′ NB, 6° 34′ OL;;;;0;;;;0;
899;Holten;Overijssel;Oost-Nederland           ;Rijssen-Holten                     ;;;9435;52° 17′ NB, 6° 25′ OL;;;;0;;;;0;
901;Holtheme;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.6;6.716666666666667;175;['52° 36′ NB, 6° 43′ OL'];;;;0;;;;0;
902;Holthone;Overijssel;Oost-Nederland           ;Hardenberg                         ;52.63333333333333;6.683333333333334;105;['52° 38′ NB, 6° 41′ OL'];;;;0;;;;0;
